PT. SINAR PURE FOODS INTERNATIONAL;;;;;;;;;;
Purchase Requisition Slip (PRS) Not Yet Purchase Order (PO);;;;;;;;;;
As Of February 11, 2026;;;;;;;;;;
;;;;;;;;;;
Canvasser Name: Erni Ending;;;;;;;;;;
Purchase Requisition Slip;;;Item;;;;;Department;;
4024;70460001870;11-08-2014;61071;ELBOW PVC 6 X 90;0,00;1,00;;7046;Engineering;
4025;70460001870;11-08-2014;69741;TEE PVC 1/2;0,00;4,00;PCS;7046;Engineering;
4026;70460001870;11-08-2014;65579;STOP CONTAC 2 HOLE OUTBOW BROCO;0,00;1,00;PCS;7046;Engineering;
4027;70460001870;11-08-2014;90364;POMPA CELUP;0,00;1,00;;7046;Engineering;
4028;70460001871;11-08-2014;65942;Tiles 20 cm X 25 cm, blue color;0,00;8,00;;7046;Engineering;
4029;70460001871;11-08-2014;65943;Cable Eterna 2 X 2.5 mm dia;0,00;10,00;;7046;Engineering;
4038;70460001874;12-08-2014;52427;PASIR COR ( SAND );0,00;4,00;;7046;Engineering;
4039;70460001874;12-08-2014;52428;PASIR PLESTER ( SAND );0,00;4,00;;7046;Engineering;
4138;70460001909;13-08-2014;62133;HAND GLOVE ASBES ANTI PANAS;0,00;9,00;PAIRS;7046;Engineering;
4139;70460001909;13-08-2014;50043;MASKER HIDUNG GOOD QUALITY;0,00;18,00;DOS;7046;Engineering;
4145;70460001914;13-08-2014;66337;Golok / Peda (Cleaver);0,00;2,00;;7046;Engineering;
4146;70460001914;13-08-2014;61870;FIRE WOOD ( KAYU BAKAR );0,00;50,00;;7046;Engineering;
4155;70420001920;14-08-2014;51457;KAWAT GOSOK (STEEL WOOL);0,00;300,00;;7042;Inventory Management;
4150;70460001917;14-08-2014;02153;SL/C FOR SERVICE BERKALA TOYOTA  HILUX ;0,00;1,00;LOT;7046;Engineering;
4156;70480001921;14-08-2014;99870;BENDERA MERAH PUTIH ( UMBUL-UMBUL );0,00;10,00;PCS;7048;Human Resources Development;
4157;70480001921;14-08-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;10,00;LE;7048;Human Resources Development;
4194;70420001938;16-08-2014;90173;PRINTING KIT;0,00;3,00;;7042;Inventory Management;
4190;70460001935;16-08-2014;65658;S/S BALL VALVE FULL BORE 2;0,00;7,00;;7046;Engineering;
4191;70460001935;16-08-2014;64123;GI UNION 2 THREADED;0,00;6,00;;7046;Engineering;
4192;70460001936;16-08-2014;64540;EXPANSION BOLT 10 MM X 2;0,00;40,00;PCS;7046;Engineering;
4336;70460002000;25-08-2014;69741;TEE PVC 1/2;0,00;3,00;PCS;7046;Engineering;
4337;70460002000;25-08-2014;69740;ELBOW PVC 1/2;0,00;15,00;PCS;7046;Engineering;
4338;70460002000;25-08-2014;60085;PIPE PVC 1/2 (AW);0,00;2,00;LE;7046;Engineering;
4339;70460002000;25-08-2014;61601;LEM PVC @ 1 KG/TIN;0,00;1,00;TIN;7046;Engineering;
4340;70460002000;25-08-2014;61894;PIPE PVC 1 AW;0,00;1,00;LE;7046;Engineering;
4341;70460002000;25-08-2014;62861;ELBOW PVC 1;0,00;9,00;PCS;7046;Engineering;
4342;70460002000;25-08-2014;60220;FAUCET KRAN AIR 1/2;0,00;1,00;PCS;7046;Engineering;
4343;70460002000;25-08-2014;66357;ELBOW PVC 1/2 DRAT;0,00;1,00;;7046;Engineering;
4344;70460002000;25-08-2014;63672;PIPE CLAMP 1 ( SADEL );0,00;2,00;PCS;7046;Engineering;
4348;70460002001;25-08-2014;66364;PIPE & FITTING (FRW : 15A - 125A) - PIPE (STPG #38 SCH 40 & SGP-WHITE - ELBOW, TEE, REDUCER & UNION (STPG #38 SCH 40 & SGP-WHITE - CAP & FLANGE (STPG #38 SCH 40 & SGP-WHITE);0,00;1,00;;7046;Engineering;
4349;70460002001;25-08-2014;66365;ANCHOR & HANGING MATERIAL - STEEL CHANNEL & STEEL ANGLE - BOLT & NUTS;0,00;1,00;;7046;Engineering;
4350;70460002001;25-08-2014;66366;ELECTRIC & CONTROL WIRING MATERIALS - ELECTRIC CABLE, SEALED CABLE & CABLE TRAY - CONDUIT PIPE & FITTINGS -  THERMO-SENSOR & TERMINATION & SUB-MATERIALS - FLEXI CONNECTOR, UNION COUPLING & ACCESSORIES;0,00;1,00;;7046;Engineering;
4352;70460002002;25-08-2014;66367;WALL PANEL 1.000 W X 3.000 L ( 1500 MM T POLYURETHANE PANEL FOR BLAST FREEZER );0,00;32,00;;7046;Engineering;
4353;70460002002;25-08-2014;66368;CEILLING PANEL 1.000 W X 6.000 L ( 1500 MM T POLYURETHANE FOR BLAST FREEZER )CEILLING PANEL 1.000 W X 6.000 L ( 1500 MM T POLYURETHANE FOR BLAST FREEZER );0,00;10,00;;7046;Engineering;
4354;70460002002;25-08-2014;66369;WALL PANEL 1.000 W X 4.375 L ( 125 MM T POLYURETHANE PANEL FOR COLD STORAGE );0,00;115,00;;7046;Engineering;
4355;70460002002;25-08-2014;66370;CEILLING PANEL 1.000 W X 8.350 L ( 125 MM T POLYURETHANE FOR COLD STORAGE );0,00;38,00;;7046;Engineering;
4356;70460002002;25-08-2014;66371;CEILLING PANEL 1.000 W X 10.750 L ( 125 MM T POLYURETHANE FOR COLD STORAGE );0,00;19,00;;7046;Engineering;
4357;70460002003;25-08-2014;66372;WALL PANEL 1.000 W X 4.000 L ( 75 MM T POLYURETHANE PANEL FOR ANTE ROOM);0,00;23,00;;7046;Engineering;
4358;70460002003;25-08-2014;66373;CEILLING PANEL 1.000 W X 5.790 L ( 75 MM T POLYURETHANE PANEL FOR ANTE ROOM );0,00;11,00;;7046;Engineering;
4359;70460002003;25-08-2014;66374;(SUB MATERIALS & ACCESSORIES ) - AL SUSPENSION MOULD & SI-FLASHING COVER, POLYURETHANE SPRAY WITH CAN, PRESSURE RELIEF PORT & THERMOMETER, WIRE CLIPS & TURNBUCKLE, PVC CAP & SCREW BOLT;0,00;1,00;;7046;Engineering;
4363;70460002006;25-08-2014;66375;INSULATED DOOR & AIR CURTAIN (OVER-LAP DOOR FOR BLAST FREEZER SIZE : 2.00 MM W X 2.300 MM H X 150 MM T TYPE : MANUAL SINGLE OVER LAP, CASING MATERIAL S/S PLATE  0.6 MM T  WITH AL - CHECK PLATE - INSULATION : PLYURETHANE 150 MM T - WITH ELECTRIC WIRE HEATER & THERMOSTAT - INCLUDE ALL NECESSARY HARDWARE;0,00;1,00;;7046;Engineering;
4364;70460002006;25-08-2014;66376;SLIDING DOOR FOR COLD STORAGE ( SIZE 2.500 MM W X 2.600 MM H X 125 MM T - TYPE : MANUAL SINGLE SLIDING - CASING MATERIAL : S/S PLATE 0.6 MM T WITH AL - CHECK PLATE - INSULATION : POLYURETHANE 125 MM T - WITH ELECTRIC WIRE HEATER & THERMOSTAT - INCLUDE ALL NECESSARY HARDWARE;0,00;2,00;SET;7046;Engineering;
4376;70460002009;25-08-2014;66377;SLIDING DOOR FOR ANTE ROOM ( SIZE : 2.500 MM W X 2.600 MM H X 75 MM T - TYPE : MANUAL SINGLE SLIDING - CASING MATERIAL : S/S PLATE 0.6 M T WITH AL - CHECK PLATE - INSULATION : POLYURETHANE 75 MM T - INCLUDE ALL NECESSARY HARDWARE;0,00;1,00;SET;7046;Engineering;
4377;70460002009;25-08-2014;66378;SLIDING DOOR ANTE ROOM SIZE 2.000 W MM X 2.600 H MM X 75 MM T;0,00;1,00;;7046;Engineering;
4378;70460002009;25-08-2014;66379;AIR CURTAIN FOR COLD STORAGE ( SIZE : 1.000 MM W X 0.2 KW - FAN & MOTOR : SIROCCO FAN & 0.2 KW X 3 PH X 380 V X 50 HZ;0,00;2,00;;7046;Engineering;
4385;70460002010;25-08-2014;60089;"WELDING ROD RB 26  &#65533; 2.6MM";0,00;10,00;KGS;7046;Engineering;
4386;70460002010;25-08-2014;60733;CUTTING WHEEL 14 (RESIBON BRAND);0,00;2,00;PCS;7046;Engineering;
4387;70460002010;25-08-2014;60213;GRINDING WHEEL 4;0,00;5,00;;7046;Engineering;
4391;70460002013;25-08-2014;66380;AIR CURTAIN FOR COLD STORAGE - SIZE 1.200 MM W X 0.2 KW - FAN & MOTOR : SIROCCO FAN & 0.2 KW X 3 PH X 380 V X 50 HZ;0,00;2,00;SETS;7046;Engineering;
4392;70460002013;25-08-2014;66381;STRIP CURTAIN FOR ANTE ROOM - SIZE 2.500 MM W X 2.600 MM H X 3 MM T - WITH ALL NECESSARY HARDWARE;0,00;2,00;;7046;Engineering;
4393;70460002013;25-08-2014;66382;FLOOR HEATER FOR COLD STORAGE SIZE 1.800 MM L X 500 MM W - POWER : 0.25 KW X 1 PH X 220 V X 50 HZ;0,00;1,00;;7046;Engineering;
4394;70460002013;25-08-2014;66383;FLOOR HEATER FOR COLD STORAGE SIZE : 2.400 MM L X 500 MM W - POWER : 0.35 KW X 1 PH X 220 V X 50 HZ;0,00;1,00;;7046;Engineering;
4412;70460002022;25-08-2014;66365;ANCHOR & HANGING MATERIAL - STEEL CHANNEL & STEEL ANGLE - BOLT & NUTS;0,00;1,00;;7046;Engineering;
4413;70460002022;25-08-2014;66454;Insulation Materials for pipe and Vessels , Insulation Styrofoam Cover for Pipe & Low temp Vessels, Vinyl Tape & Rivets, Cladding Aluminum (Aluminum sheets #26) for Insulation closing cover;0,00;1,00;;7046;Engineering;
4425;70460002025;25-08-2014;66455;SLC for installation works: Machnineries and Equipment, Piping and electrical & Control Wiring Labor, Insulation labor for Pipe & Vessels, Installation for P.U Panel & doors, Trial Operation & Commisioning;0,00;1,00;;7046;Engineering;
4533;70460002073;30-08-2014;69429;PASIR COR (SAND);0,00;2,00;;7046;Engineering;
4534;70460002073;30-08-2014;52428;PASIR PLESTER ( SAND );0,00;1,00;;7046;Engineering;
4568;70460002078;01-09-2014;60541;ROOFING SCREW 5MM X 2 @ `100PCS/ BOX;0,00;3,00;BOX;7046;Engineering;
4603;70460002093;01-09-2014;65975;Pad Kit Fortuner;0,00;1,00;;7046;Engineering;
4604;70460002094;01-09-2014;02186;Repair  brake system of Fortuner (Brake (C/A);0,00;1,00;LOT;7046;Engineering;
4608;70440002098;02-09-2014;50999;SARUNG TANGAN KATUN ;0,00;30,00;;7044;Quality Assurance;
4691;70460002126;04-09-2014;64246;BALOK KAYU 5 CM X 6 CM X 4 MTR;0,00;4,00;;7046;Engineering;
4692;70460002126;04-09-2014;63488;BALOK KAYU BESI (KRIKIS) 8CM X 12CM X 120CM;0,00;2,00;;7046;Engineering;
4693;70460002126;04-09-2014;63489;PAKU BETON 3.5;0,00;1,00;;7046;Engineering;
4694;70460002126;04-09-2014;62534;PAKU SENG;0,00;2,00;KGS;7046;Engineering;
4720;70440002141;08-09-2014;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;5,00;ROLLS;7044;Quality Assurance;
4721;70440002141;08-09-2014;70094;AQUADESTILATE;0,00;30,00;LTR;7044;Quality Assurance;
4723;70440002141;08-09-2014;50135;PLASTIC BROOM / SAPU PLASTIC;20,00;1,00;PCS;7044;Quality Assurance;
4724;70440002141;08-09-2014;50317;DUST PAN ( SKEP SAMPAH );0,00;1,00;PCS;7044;Quality Assurance;
4726;70440002141;08-09-2014;52401;SUNLIGHT @ 800 ML;-14,00;2,00;SCHT;7044;Quality Assurance;
4728;70460002143;08-09-2014;69600;KUNCI PINTU ALUMINIUM + GAGANG TARIK MEREK DEKSON;0,00;2,00;;7046;Engineering;
4738;70460002150;09-09-2014;02391;SLC TOOLS & MATERIALS FOR PEMBUATAN LANTAI COLD STORAGE BARU, 580M2;0,00;1,00;LOT;7046;Engineering;
4843;70460002187;11-09-2014;66176;GI ELBOW DIA 1,5 INCHI (WELDING TYPE);0,00;2,00;;7046;Engineering;
4858;70460002193;11-09-2014;65951;Hose Clamp, 1 inch dia.;0,00;35,00;PCS;7046;Engineering;
4859;70460002194;11-09-2014;65980;Hose clamp, 3/4 inch diameter;0,00;20,00;;7046;Engineering;
4860;70460002194;11-09-2014;65782;Hose clamp 1/2 inch diameter;0,00;20,00;;7046;Engineering;
4873;70440002202;12-09-2014;69944;TOTARA 4 X 6 ;0,00;2,00;;7044;Quality Assurance;
4918;70460002222;15-09-2014;66000;Machinery and Equipment for Cold storage 500 MT cap.;0,00;1,00;;7046;Engineering;
4919;70460002222;15-09-2014;66200;Electric/ control device & piping materials for cold storage 500 MT;0,00;1,00;;7046;Engineering;
4920;70460002222;15-09-2014;662001;Insulated Panel & Doors for cold storage 500 MT cap.;0,00;1,00;;7046;Engineering;
4921;70460002223;15-09-2014;02187;Supply of labor for Ocean Freight and Handling Charge;0,00;1,00;LOT;7046;Engineering;
4922;70460002223;15-09-2014;02188;SLC for installation Works & Wiring for Refrigeration System;0,00;1,00;LOT;7046;Engineering;
5015;70460002257;18-09-2014;60733;CUTTING WHEEL 14 (RESIBON BRAND);-2,00;1,00;PCS;7046;Engineering;
5016;70460002257;18-09-2014;60213;GRINDING WHEEL 4;53,00;1,00;;7046;Engineering;
5024;70460002261;18-09-2014;60064;CEMENT TONASA @50KG/BOX;84,00;15,00;;7046;Engineering;
5039;70460002261;18-09-2014;65218;PIPE PVC WAVIN 1,5 X 6 MTRS;0,00;1,00;;7046;Engineering;
5040;70460002261;18-09-2014;71500;SHOWER ;0,00;2,00;;7046;Engineering;
5041;70460002261;18-09-2014;62011;ELBOW PVC 3  WAVIN;2,00;2,00;PCS;7046;Engineering;
5042;70460002261;18-09-2014;90899;ELBOW PVC;0,00;8,00;;7046;Engineering;
5043;70460002261;18-09-2014;60085;PIPE PVC 1/2 (AW);0,00;3,00;LE;7046;Engineering;
5044;70460002261;18-09-2014;69740;ELBOW PVC 1/2;0,00;8,00;PCS;7046;Engineering;
5045;70460002261;18-09-2014;69741;TEE PVC 1/2;0,00;5,00;PCS;7046;Engineering;
5046;70460002261;18-09-2014;61601;LEM PVC @ 1 KG/TIN;0,00;1,00;TIN;7046;Engineering;
5125;70460002290;22-09-2014;71608;AMPLAS/KERTAS PASIR;0,00;1,00;;7046;Engineering;
5154;70460002291;22-09-2014;69567;SELANG FLEKSIBEL;0,00;1,00;PCS;7046;Engineering;
5313;70420002363;30-09-2014;40240;LABELS 603  PORTICELLO SCO 603;0,00;9.600,00;PCS;7042;Inventory Management;
5294;70440002355;30-09-2014;90199;SANDAL SWALLOW;0,00;12,00;;7044;Quality Assurance;
5258;70460002344;30-09-2014;66196;PANEL WALL SOFTBOARD 1220 MM X 2400 MM X 50 MM;0,00;73,00;;7046;Engineering;
5259;70460002344;30-09-2014;66197;HOLLO ALUMINIUM 2 CM X 3 CM;0,00;44,00;;7046;Engineering;
5260;70460002344;30-09-2014;62524;GYPSUM 9 MM X 120 CM X 240 CM;0,00;31,00;;7046;Engineering;
5261;70460002344;30-09-2014;64466;LEM EHA BOND @ 1 KGS/TIN;0,00;20,00;;7046;Engineering;
5262;70460002344;30-09-2014;66198;PAKU GYPSUM ( SCREW ) @ 1000 PCS/BOX;0,00;2,00;;7046;Engineering;
5263;70460002345;30-09-2014;71511;KOSEN PINTU BESI HOLLO, 80CM X 200CM;0,00;2,00;;7046;Engineering;
5264;70460002345;30-09-2014;71510;PINTU BESI LAPIS PALATE 2MM, 80CM X 200CM ;0,00;2,00;;7046;Engineering;
5266;70460002347;30-09-2014;71508;METROLITE CREAM @ 16KG/TINS;0,00;7,00;;7046;Engineering;
5267;70460002347;30-09-2014;65007;METROLITE  WHITE PAINT  @ 16 KG;0,00;4,00;;7046;Engineering;
5268;70460002347;30-09-2014;71612;AVIAN PAINT (WARNA COKLATE);0,00;10,00;;7046;Engineering;
5269;70460002347;30-09-2014;64913;MOWILEX / VARNISH @ 1 KG/TINS;-1,00;31,00;TIN;7046;Engineering;
5270;70460002347;30-09-2014;50055;KUAS ROLL 20 CM;8,00;8,00;PCS;7046;Engineering;
5271;70460002347;30-09-2014;60545;PAINT BRUSH 3;-6,00;6,00;;7046;Engineering;
5272;70460002347;30-09-2014;52388;CAT MINYAK WARNA COKLAT @ 1KG/TINS;0,00;10,00;;7046;Engineering;
5273;70460002348;30-09-2014;02400;SL/C & TOOLS FOR PEKERJAAN PENGECATAN DINDING DI ADMIN BUILDING;0,00;1,00;LOT;7046;Engineering;
5274;70460002349;30-09-2014;65009;NIPPON MARINE WHITE  @ 5 KG ;1,00;20,00;;7046;Engineering;
5275;70460002349;30-09-2014;65024;NIPPON MARINE PRIMER @ 5 KG/TIN (MENI);-1,00;3,00;;7046;Engineering;
5276;70460002349;30-09-2014;63321;THINNER CAT & DOG @ 5KG/TINS;30,00;15,00;;7046;Engineering;
5277;70460002349;30-09-2014;50055;KUAS ROLL 20 CM;8,00;10,00;PCS;7046;Engineering;
5278;70460002349;30-09-2014;50191;BAMBU ( BULU ) 8CM X 6 MTRS;0,00;20,00;LE;7046;Engineering;
5279;70460002349;30-09-2014;61008;TALI RAFIAH @ 1 KGS;0,00;1,00;ROLL;7046;Engineering;
5282;70460002352;30-09-2014;65011;NIPPON MARINE PRIMER @ 1 KG/TIN;-1,00;5,00;;7046;Engineering;
5283;70460002352;30-09-2014;64385;NIPPON MARINE SILVER @ 5 LITERS / TINS;0,00;5,00;;7046;Engineering;
5284;70460002352;30-09-2014;65009;NIPPON MARINE WHITE  @ 5 KG ;1,00;15,00;;7046;Engineering;
5285;70460002352;30-09-2014;63321;THINNER CAT & DOG @ 5KG/TINS;30,00;10,00;;7046;Engineering;
5286;70460002352;30-09-2014;50055;KUAS ROLL 20 CM;8,00;5,00;PCS;7046;Engineering;
5287;70460002352;30-09-2014;60545;PAINT BRUSH 3;-6,00;10,00;;7046;Engineering;
5288;70460002352;30-09-2014;50191;BAMBU ( BULU ) 8CM X 6 MTRS;0,00;20,00;LE;7046;Engineering;
5292;70460002354;30-09-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;10,00;LE;7046;Engineering;
5293;70460002354;30-09-2014;61008;TALI RAFIAH @ 1 KGS;0,00;1,00;ROLL;7046;Engineering;
5305;70460002361;30-09-2014;65024;NIPPON MARINE PRIMER @ 5 KG/TIN (MENI);-1,00;8,00;;7046;Engineering;
5306;70460002361;30-09-2014;64385;NIPPON MARINE SILVER @ 5 LITERS / TINS;0,00;8,00;;7046;Engineering;
5307;70460002361;30-09-2014;50015;THINNER CAT & DOG @5L;-6,00;9,00;TIN;7046;Engineering;
5308;70460002361;30-09-2014;60545;PAINT BRUSH 3;-6,00;10,00;;7046;Engineering;
5309;70460002361;30-09-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;20,00;LE;7046;Engineering;
5310;70460002361;30-09-2014;61008;TALI RAFIAH @ 1 KGS;0,00;1,00;ROLL;7046;Engineering;
5311;70460002361;30-09-2014;50542;MAJUN;0,00;5,00;KGS;7046;Engineering;
5332;70460002374;30-09-2014;62197;DECORATIVE BLOCKS (ROSTER MATAHARI);0,00;15,00;;7046;Engineering;
5344;70320002379;01-10-2014;50268;Keranjang Plastik Besar;0,00;5,00;PCS;7032;Fixed Fish Procurement;
5442;70460002423;06-10-2014;71601;PAKU BETON 3;1,00;2,00;;7046;Engineering;
5484;70460002452;08-10-2014;69581;PAKU BETON WHITE, 4INC;0,00;20,00;;7046;Engineering;
5485;70460002452;08-10-2014;69585;HAMMER 0,5KG;0,00;1,00;;7046;Engineering;
5570;70460002472;09-10-2014;00574;SLC FOR SERVICE BERKALA TOYOTA INNOVA  DB 2116 CA;0,00;1,00;Lot;7046;Engineering;
6930;70460003581;15-10-2014;66308;MIGT taylor brand, temp range: 35 - 135 degC / 95 - 275 degF;0,00;6,00;;7046;Engineering;
6931;70440003582;16-10-2014;99341;Celana Panjang Loining (Pakai Garter/Karet Samping) Warna Biru;0,00;500,00;;7044;Quality Assurance;
6932;70440003582;16-10-2014;99342;Celana Panjang Packing(Pakai garter/Karet samping) Warna Pink;0,00;100,00;;7044;Quality Assurance;
6986;70440003608;17-10-2014;70094;AQUADESTILATE;-30,00;30,00;LTR;7044;Quality Assurance;
6990;70440003608;17-10-2014;93214;TISSUE HALUS BIG REFIL;-7,00;2,00;;7044;Quality Assurance;
6991;70440003608;17-10-2014;52401;SUNLIGHT @ 800 ML;2,00;2,00;SCHT;7044;Quality Assurance;
6994;70460003611;17-10-2014;02214;SL/C FOR PENGGANTIAN PLAFOND PRODUCTION BUILDING;0,00;1,00;LOT;7046;Engineering;
6995;70460003612;17-10-2014;62647;BALOK KAYU 5/7 CM X  NANTUMERAH ;18,00;30,00;LE;7046;Engineering;
6996;70460003612;17-10-2014;66235;KALSI 4,5 MM X 120 CM X 240 CM;0,00;75,00;;7046;Engineering;
6997;70460003612;17-10-2014;66236;COMICE @ 25 KG;0,00;10,00;;7046;Engineering;
6998;70460003612;17-10-2014;66237;PRFIL SP 7 X 2 MTRS;0,00;95,00;;7046;Engineering;
6999;70460003612;17-10-2014;60847;NAIL ( PAKU ) 3;-6,00;5,00;KGS;7046;Engineering;
7000;70460003612;17-10-2014;66238;PAKU SCREW 3 MM X 1,5 INCHI @ 100PCS/BOX;0,00;50,00;BOXES;7046;Engineering;
7001;70460003612;17-10-2014;65007;METROLITE  WHITE PAINT  @ 16 KG;0,00;4,00;;7046;Engineering;
7002;70460003612;17-10-2014;50055;KUAS ROLL 20 CM;10,00;5,00;PCS;7046;Engineering;
7003;70460003612;17-10-2014;60545;PAINT BRUSH 3;-1,00;3,00;;7046;Engineering;
7004;70460003612;17-10-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;20,00;LE;7046;Engineering;
7009;70460003614;17-10-2014;65007;METROLITE  WHITE PAINT  @ 16 KG;0,00;8,00;;7046;Engineering;
7010;70460003614;17-10-2014;50015;THINNER CAT & DOG @5L;-7,00;3,00;TIN;7046;Engineering;
7013;70460003614;17-10-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;30,00;LE;7046;Engineering;
7017;70460003616;17-10-2014;61271;WELDING ROD SS 2.6MM;97,00;10,00;KGS;7046;Engineering;
7018;70460003616;17-10-2014;66240;PENUTUP KAKI PAGAR;0,00;32,00;;7046;Engineering;
7020;70460003616;17-10-2014;60733;CUTTING WHEEL 14 (RESIBON BRAND);-9,00;2,00;PCS;7046;Engineering;
7021;70460003616;17-10-2014;60213;GRINDING WHEEL 4;40,00;5,00;;7046;Engineering;
7034;70460003618;18-10-2014;64152;BAMBU/BULU 3 X 8 MTR;0,00;10,00;LE;7046;Engineering;
7054;70460003621;18-10-2014;52428;PASIR PLESTER ( SAND );28,00;1,00;;7046;Engineering;
7169;70460003644;20-10-2014;64224;ELECTRICAL PLIER SEZE 200 MM;0,00;2,00;;7046;Engineering;
7172;70460003645;20-10-2014;63370;HIGH TEMPERATURE PAINT  SILVER @ 5 LTR;0,00;6,00;;7046;Engineering;
7230;70460003671;21-10-2014;66937;OXIGENT REFILLING 2000 PSI PRESSURE;0,00;1,00;BTL;7046;Engineering;
7231;70460003671;21-10-2014;61771;ACETYLENE REFILL @ 200 PSI;2,00;1,00;BTL;7046;Engineering;
7267;70460003684;21-10-2014;60399;EXPANSION BOLT 12mm X 3;0,00;16,00;;7046;Engineering;
