id;supplier_code;supplier_name;supplier_address;telephone;fax;email;contact_person;is_active;is_delete;created_by;created_date;updated_by;updated_date;type
17;513;PT EKADHARMA INTERNATIONA;KALAWAT MINAHASA UTARA;082214509823;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2016-07-12 13:58:55.127;NULL
18;467;"AHLI WC  ";MANADO;081356305910;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-09-17 09:58:05.030;NULL
19;511;INDO GROSIR MANADO;MANADO;0431 7241615;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2016-11-08 20:26:25.447;NULL
20;588;BPK JOSSI HORONI;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
21;478;PENGKY/ALBERT LINCEWAS;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2014-08-26 13:30:38.313;NULL
22;249;"DISPERINDAG PROVINSI ";JLN PUMOROUW MANADO;0431 - 862469;08124416065;metrologysulut@yahoo.com;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-10-30 10:36:23.337;NULL
23;21;PT UNIVERSAL JASA KEMAS;PASURUAN  JAWA TIMUR;0811336889;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2017-02-16 09:16:30.047;NULL
24;38;CAIRNHILL SERVECH  INTI;RUKO THAMRIN BLOK E-1 JL. H.H;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
25;578;CENTRAL PHOTO DIGITAL;RUKO MEGA MAS;082292006425;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2023-01-20 14:57:46.070;NULL
26;556;CENTURY CONTAINER CORPORATION;PHILIPPINES;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
27;539;PT EONCHEMICALS PUTRA;JAKARTA;;021- 8308711;sales@eonchemicals.com;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-12-18 09:27:13.877;NULL
28;548;SERVICE RADIATOR;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0009;2016-08-03 11:51:36.377;NULL
29;368;CITIEMART BITUNG;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
30;405;COMETA CAN PT.;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
31;605;CONNELL BERSAUDARA CHEMINDO PT.;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
32;423;VENTJE TAROREH;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2018-11-29 11:40:13.983;NULL
33;470;CV CAHAYA MAJESTIC;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
34;29;MER 99 FURNITURE CENTER;MANADO;082288889099;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2025-08-01 16:09:57.270;NULL
35;66;CV MUTIARA CIPTA MANDIRI;TONDANO SELATAN  MINAHASA;085298668440;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2016-06-15 11:39:59.957;NULL
36;369;JAKA ISKANDAR;SAGERAT BITUNG;08124496184;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2021-06-08 13:54:30.907;NULL
37;502;CV HAPPUK JAYA;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
38;522;CV KARUNIA;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
39;78;PT.MULTI PAINT JAYA;AERTEMBAGA BITUNG;085340004321;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2023-12-07 16:24:38.040;NULL
40;377;CV KUDA MAS;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
41;524;PT BORNAVA INDOBARA MANDI;SURABAYA, JATIM;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0007;2024-04-22 11:55:56.697;NULL
42;569;CV MIFA UTAMA;MAKASSAR;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
43;141;CV MISA ESA SULUT;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
44;383;ASVELIAGRACIA PRATAMA PT;JAKARTA;021-87961166-67;;oktiana.riza@asvelia.com;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0009;2016-08-03 15:07:10.593;NULL
45;450;CV POLA BERKAT;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
46;384;CV RUMINDO CITRA PERKASA;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
47;551;CV RYOS JAYA MANDIRI;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
48;444;SPECIAL ALUMINIUM;KOMBOS MANADO;085242795122;0431872635;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2017-01-11 20:46:54.157;NULL
49;428;CV SENTRATAMA SEJAHTERA;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
50;461;CV SINAR KENCANA ABADI;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
51;447;CV SINAR MANDIRI;BITUNG;085256523444;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2017-09-26 12:48:37.823;NULL
52;613;CV WAHANA HILAB INDONESIA;YOGYAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
53;602;CV. GEBANG JASA SERVICE;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
54;96;CV HARIAN JAYA YUSUH HUSA;MANADO;085398387658;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2025-04-09 11:56:27.617;NULL
55;372;CV. MULTI SHRINK PLAST;CILAMPENI-KATAPANG, KAB BANDUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
56;418;CV.PERMATA ELECTRIC;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
57;453;DESAINWEBPRO.COM;Graha Raya Bintaro, Jl. Valencia X, No.9, Bitaro - Tangerang;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
58;342;DFDS TRANSPORT INDONESIA PT.;"Wisma BII 8th Floor, Suite #801-803; Jl. Pemuda 60-70 Surabaya 60271, Indonesia";NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
59;40;DIESEL STOCK;Surabaya;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
60;305;"DINAS TENAGA KERJA ";BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2021-03-08 14:47:19.837;NULL
61;49;DJAFAR BEU;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
62;531;DOCTER - PC / Bp. BUDI SATRIYO;"LANTAI DASAR BLOK B-36A; SURABAYA";NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
63;532;EAST,INC;PHILIPPINES;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
64;57;ELECTROCOM;M A N A D O;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
65;611;BPK MUHAMAD;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-03-29 15:40:40.437;NULL
66;572;EMS INDOAPPLIANCES PT.;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
67;433;MR JOXN;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0007;2024-07-30 23:31:50.880;NULL
68;537;EXCEL STAMP;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
69;392;FASTECHINDO TOKO.;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
70;561;FORTINO AUDIO;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
71;65;FRACHT ARTA GLOBAL;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
72;620;FRANCISCUS J.TULUNG;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
73;70;GAPURA RAYA PT.;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
74;606;GNV CONSULTING;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
75;574;PT GOLDEN MITRA INTI PERK;MANADO BOULEVARD CENTER;0431841468;0431841469;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2018-07-06 11:28:08.407;NULL
76;76;GRAND HARDWARE;JL. PIERRE TENDEAN KMPLK ITC M;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
77;337;GRAND PRIMA MANADO;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
78;586;HADI WIJAYA IMANU / HIWIGO;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
79;397;HARAPAN JAYA UD.;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
80;80;RAJ WALLPAPER;JLN BENGAWAN SOLO NO 113 MANADO;085100323726;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2015-09-23 11:51:26.710;NULL
81;580;AUTOSPARK CAR CARE;KOMBOS MANADO;081213038066;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-05-19 14:18:38.610;NULL
82;84;HEIN TOMBILING;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
83;349;HERMASA CANNING TECNOLOGY;SPAIN;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
84;507;HESTI LESTARI;AIRMADIDI  - MINAHASA UTARA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
85;280;HYPERMART MANADO TOWN SQUARE;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
86;386;I M E T A;IMETA SRL - VIA BURLA 279/a -43122 PARMA -ITALY;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
87;92;PT SARANA DAYA INDOPRIMA;PODOMORO CITY RUKO GSA NO 8 BLOK DH JAKARTA BARAT;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0007;2024-08-08 09:20:00.977;NULL
88;217;INDO PERKASA ABADI;JL. DEDINDING LOR 33 (60129), SURABAYA -INDONESIA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
89;576;INDOPART UNITAMA CV.;JL. TOMAN SARI RAYA, JAKARTA BARAT 11150;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
90;533;INDUSTRIAL TRADE CORPORATION ( INDEN );DAVAO - CITY;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
91;266;INFORMA FURNITURE;MANADO;082175826276;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2023-09-08 13:45:34.903;NULL
92;103;INTAN USTRIX PT;TREMAN KECAMATAN KAUDITAN;082271618100;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2019-05-14 13:41:24.437;NULL
93;422;INTERACTIVE KOMPUTER;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
94;534;ALLIANCE SELECT FOODS INT;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2019-06-28 15:52:00.737;NULL
95;298;INTERTECH COMPUTER;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
96;105;IRRA FARMA APOTIK;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
97;296;ISTANA ALUMINIUM;Woltermonginsidi 31 Bahu Mdo;081340583337;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2017-08-25 16:07:10.797;NULL
98;106;JAMES N. WALADOU;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
99;107;JASUINDO TIGA PERKASA PT.;JL. KEUTAMAAN No.36, JAKARTA B;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
100;110;JCD METAL FABRIC CORP;129, Dela Cruz, Quezon City, Philiphines;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
101;112;ACEITES TOLEDO SA;SPAIN;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0009;2015-11-17 16:54:38.093;NULL
102;108;PTCHEETAM GARAM INDONESIA;Cilegon-Banten;"+62 254 310 887    ";"+62 254 387 023   ";farida@cheetham.co;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2020-10-14 09:13:02.040;NULL
103;562;PT PEMINDO;DADAP TANGERANG;081807098383;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-02-03 14:26:43.330;NULL
104;403;JOUKE SUWUH;LEILEM;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
105;404;PT HASIL ABADI SENTOSA;WRINGIN ANOM GRESIK;0811308149;;kokosoetijo@gmail.com;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-08-03 16:24:58.717;NULL
106;603;TEGUH JAYA FANCY;TEGAL TIMUR SURABAYA;0818534433;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2018-04-18 15:09:13.110;NULL
107;408;KAWAN LAMA SOLUSI;JAKARTA;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0007;2024-10-08 14:00:43.147;NULL
108;155;KHARISMA ESA UNGGUL PT.;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
109;117;KHARISMA SEJAHTERA AGUNG JAYA;Jln. Letnan Sutopo, BSD City  SERPONG - TANGERANG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
110;51;KM GRANDPACK CO,LTD;918 CHOCKCHAI 4 RD  LADPRAO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
111;116;KO CHONG;INOBONTO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
112;120;KOMBOS CV.;JL. RAYA KOMBOS - M A N A D O;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
113;535;KRISBOW MANADO;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
114;122;TOKO PINTU DUA;GIRIAN;085343529039;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2019-01-17 15:07:20.143;NULL
115;469;LITAN ELECTRONIC CENTRE;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
116;538;LOHAKIJ RUNG CHAREON SUB. CO., LTD;THAILAND;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
117;123;LOMPINA KARYA PRINT;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
118;557;LUMORING CV.;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
119;437;MANADO SEJATI PERKASA;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
120;130;DEPOT AIR MINUM AIRQU;DENDENGAN LUAR MIANGAS;081340564003;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2018-08-08 09:54:42.657;NULL
121;132;MCTI CO.,LTD;THAILAND;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
122;612;MEGAH JAYA TOKO;RUKO PATETEN;31525;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-08-31 10:47:36.170;NULL
123;526;SUTOMO;GIRIAN BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-02-22 16:58:16.953;NULL
124;390;MITRA GAS SERVICE CV.;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
125;506;PT KARYA MANDIRI SEJATRA;MANADO;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0007;2016-11-15 21:13:49.017;NULL
126;521;MITRA MEKATAMA MANADO;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
127;594;E.D SAMBUR;BITUNG;081343677355;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2017-08-25 16:06:15.977;NULL
128;325;MULTI NABATI SULAWESI PT.;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
129;451;"INDOMARET ";BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2017-02-03 15:28:03.580;NULL
130;370;N.BANSALENG;BITUNG;085298094774;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2025-05-22 11:51:24.967;NULL
131;149;NARDUS SUMERA;M A N A D O;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
132;153;NOLFIE LAMBONAN;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
133;157;OMEGA PRINTING;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
134;493;PANCA WISESA NUSANTARA PT.;RAJAWALI SELATAN 1/71 KELURAHAN GUNUNG SAHARI UTARA KEC. SAWAH BESAR-KOTA ADMINISTRASI JAKARTA PUSAT;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
135;429;PASAR GIRIAN;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.300;USER0008;2016-12-04 22:23:12.173;NULL
136;334;PASTI MURAH TOKO / CENTRAL MURAH;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
137;160;PD. MAJU BAN;M A N A D O;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.300;NULL;NULL;NULL
138;575;PELANGI TOKO;MANADO;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
139;162;PELOPOR UD;M A N A D O;0431879738;0431879774;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2021-01-18 13:57:34.413;NULL
140;359;PERCETAKAN AYU BERKAT;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
141;410;CV.PERCETAKAN MANADO;MANADO;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2023-09-21 11:45:32.800;NULL
142;421;PERCETAKAN TRINITY;MANADO;081340008825;;;NULL;N;Y;SYS;2014-07-21 10:15:52.317;USER0008;2017-09-27 16:00:21.223;NULL
143;560;PERMATA SWALAYAN;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
144;163;PERTAMINA DEPOT BITUNG;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
145;357;PHIL WHASHIN ENGINEERING CO.;KOREA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
146;164;PLAZA BANGUNAN;JL. JEND. SUDIRMAN NO. 139, MA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
147;540;PT CENTRAL CONVEYOR BELTING;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
148;27;BILLY ANSAR;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2016-03-07 15:13:09.780;NULL
149;476;PT CIPTA MULTI BUANA PERKASA;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
150;46;PT CONBLOC INDONESIA SURYA;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
151;514;PT DIGI INDONESIA;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
152;456;PT DIPA PUSPA LABSTAINS;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
153;272;PT DUTA CAKRAWALA MANDIRI;KOMPLEKS CITRA LAND MANADO;0811432525;;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2020-08-18 13:04:19.427;NULL
154;373;PT EUROASIATIC JAYA;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
155;440;PT GUNUNG GILEAD;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
156;420;PT HANNA INSTRUMEN INDOTAMA;JAKARTA;085697718621;;dwiantoro46@yahoo.com;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2017-02-01 13:33:02.640;NULL
157;378;PT INZULITA TIRTA MANDIRI;AIRMADIDI ATAS - MINAHASA UTARA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
158;487;PT KARYA CIPTA KHARISMA PERKASA;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
159;371;PT KERISMAS WITIKCO MAKMU;BITUNG;0431855156;0431847533;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2018-02-22 13:25:42.017;NULL
160;448;PT KHARISMA SEJAHTERA AGUNGJAYA;JAKARTA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
161;504;PT MASPLAST POLY FILM;"BANDUNG ";NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.317;NULL;NULL;NULL
162;131;PT MERCK CHEMICALS AND LI;PASAR REBO JAKARTA;02128565600;02128565603;;NULL;Y;N;SYS;2014-07-21 10:15:52.317;USER0008;2017-07-17 12:50:11.473;NULL
